symbol,timestamp,open,high,low,close,volume
300750.SZ,20200102,38.84,39.76,38.01,39.02,206116
300750.SZ,20200103,39.02,40.5,38.16,40.14,180842
300750.SZ,20200106,41.12,42.89,39.17,39.89,265002
300750.SZ,20200107,39.84,40.19,38.96,39.56,135075
300750.SZ,20200108,39.84,41.23,38.78,40.17,192241
300750.SZ,20200109,41.51,43.45,40.4,43.17,201644
300750.SZ,20200110,42.73,42.73,41.33,42.23,144280
300750.SZ,20200113,43.73,45.11,42.73,44.23,215974
300750.SZ,20200114,45.68,46.37,43.27,43.56,217685
300750.SZ,20200115,43.56,44.61,41.62,43.34,177587
300750.SZ,20200116,43.73,44.01,42.53,43.95,129342
300750.SZ,20200117,43.93,44.59,42.62,43.22,146624
300750.SZ,20200120,43.17,48.77,42.01,47.73,248922
300750.SZ,20200121,47.34,47.62,46.21,46.87,142671
300750.SZ,20200122,46.87,53.63,45.61,53.63,349916
300750.SZ,20200123,52.89,55.39,48.78,51.82,359862
300750.SZ,20200203,49.59,58.99,49.56,54.48,526346
300750.SZ,20200204,60.27,62.01,57.07,62.01,359136
300750.SZ,20200205,67.16,70.28,66.12,70.28,530824
300750.SZ,20200206,65.4,73.67,64.28,73.67,579190
300750.SZ,20200207,71.51,73.36,67.59,68.28,454995
300750.SZ,20200210,68.73,72.94,68.17,71.09,375409
300750.SZ,20200211,72.17,72.62,66.84,67.28,339946
300750.SZ,20200212,64.59,69.19,63.74,67.98,325862
300750.SZ,20200213,65.94,67.83,64.67,66.14,313610
300750.SZ,20200214,67.56,68.12,61.98,62.56,439619
300750.SZ,20200217,62.06,66.04,61.99,64.89,344471
300750.SZ,20200218,64.89,67.62,64.2,66.29,282305
300750.SZ,20200219,70.95,71.01,64.22,64.39,418168
300750.SZ,20200220,66.23,70.95,64.28,68.17,518440
300750.SZ,20200221,66.95,69.56,65.52,68.12,338051
300750.SZ,20200224,66.51,68.09,63.99,65.07,365231
300750.SZ,20200225,62.47,71.23,61.97,69.2,516026
300750.SZ,20200226,67.45,68.64,63.01,64.21,338280
300750.SZ,20200227,65.45,66.32,61.95,62.33,332002
300750.SZ,20200228,57.06,59.84,54.57,54.66,508447
300750.SZ,20200302,56.39,58.14,54.26,57.06,318150
300750.SZ,20200303,60.39,62.44,59.23,60.27,296911
300750.SZ,20200304,59.28,60.33,56.94,59.12,205946
300750.SZ,20200305,60.69,61.41,58.17,59.96,224633
300750.SZ,20200306,58.18,61.12,57.89,59.02,159809
300750.SZ,20200309,56.5,57.56,53.17,53.42,294253
300750.SZ,20200310,53.51,58.0,53.18,57.36,292745
300750.SZ,20200311,58.73,61.83,56.39,57.49,339232
300750.SZ,20200312,54.95,55.27,52.24,53.84,333858
300750.SZ,20200313,49.34,53.62,49.29,52.67,274553
300750.SZ,20200316,50.39,50.88,45.33,45.43,490485
300750.SZ,20200317,46.51,47.58,41.09,44.81,392203
300750.SZ,20200318,45.34,47.89,43.73,44.48,313384
300750.SZ,20200319,45.39,45.67,41.33,43.19,331563
300750.SZ,20200320,44.84,45.78,42.18,43.65,225142
300750.SZ,20200323,40.84,41.27,37.62,38.99,307618
300750.SZ,20200324,40.73,41.99,38.73,41.27,291170
300750.SZ,20200325,43.84,47.16,43.73,46.51,385928
300750.SZ,20200326,45.4,47.26,45.01,45.74,194371
300750.SZ,20200327,47.18,47.8,44.48,45.23,174991
300750.SZ,20200330,43.73,46.31,40.78,45.57,261655
300750.SZ,20200331,46.1,47.69,44.76,46.17,194852
300750.SZ,20200401,47.67,49.04,45.44,46.17,298951
300750.SZ,20200402,44.56,47.95,44.12,47.95,209588
300750.SZ,20200403,48.53,48.73,45.84,46.51,182204
300750.SZ,20200407,47.95,49.33,47.63,48.56,183729
300750.SZ,20200408,48.12,49.0,47.39,47.62,119470
300750.SZ,20200409,48.16,48.44,45.84,46.07,160528
300750.SZ,20200410,46.59,47.66,44.8,45.09,145696
300750.SZ,20200413,43.12,44.28,42.11,43.0,124581
300750.SZ,20200414,44.84,49.37,44.56,49.37,388939
300750.SZ,20200415,51.39,52.56,49.97,50.39,325645
300750.SZ,20200416,50.54,53.57,49.74,53.14,216381
300750.SZ,20200417,54.88,57.38,54.34,55.37,292522
300750.SZ,20200420,55.06,55.26,52.55,54.01,187002
