symbol,timestamp,open,high,low,close,volume
600519.SH,20200102,896.77,913.83,884.77,898.77,148099
600519.SH,20200103,885.77,885.77,845.67,847.33,130319
600519.SH,20200106,839.63,861.67,836.07,846.76,63415
600519.SH,20200107,846.27,867.77,845.17,863.3,47854
600519.SH,20200108,853.82,864.27,851.35,856.91,25008
600519.SH,20200109,862.77,874.16,858.77,871.47,37406
600519.SH,20200110,877.77,884.76,871.27,881.27,35976
600519.SH,20200113,881.27,897.97,880.77,893.04,38516
600519.SH,20200114,892.97,893.66,871.77,876.17,35145
600519.SH,20200115,877.78,890.37,873.77,880.9,26029
600519.SH,20200116,887.64,887.64,871.35,875.77,23192
600519.SH,20200117,878.77,881.55,869.78,876.27,23473
600519.SH,20200120,880.63,880.63,850.77,859.77,35391
600519.SH,20200121,849.77,855.77,841.07,844.07,32874
600519.SH,20200122,838.77,852.77,824.15,844.28,36200
600519.SH,20200123,844.77,844.77,805.77,821.57,53468
600519.SH,20200203,753.77,779.45,748.77,772.69,123443
600519.SH,20200204,783.77,825.77,779.78,806.78,62624
600519.SH,20200205,818.77,822.77,801.8,818.76,47418
600519.SH,20200206,828.2,843.77,820.79,839.77,47171
600519.SH,20200207,838.78,845.77,829.79,844.77,31279
600519.SH,20200210,830.77,843.37,825.97,835.26,30533
600519.SH,20200211,831.77,868.45,831.57,866.77,47918
600519.SH,20200212,857.77,867.56,854.65,866.04,28125
600519.SH,20200213,866.77,882.66,856.78,859.77,30357
600519.SH,20200214,859.22,862.28,851.88,856.77,23288
600519.SH,20200217,851.27,864.96,851.17,862.59,27028
600519.SH,20200218,858.78,865.65,851.77,852.77,26665
600519.SH,20200219,853.77,870.27,846.77,865.27,37051
600519.SH,20200220,865.47,892.77,864.18,886.77,46803
600519.SH,20200221,880.23,892.31,878.78,881.65,28940
600519.SH,20200224,874.27,878.77,854.27,855.95,38650
600519.SH,20200225,846.77,850.86,836.65,843.58,38386
600519.SH,20200226,830.77,852.77,823.77,842.47,43561
600519.SH,20200227,844.77,863.76,844.77,856.16,34498
600519.SH,20200228,839.07,850.77,818.74,825.77,49947
600519.SH,20200302,818.88,865.32,818.78,854.78,47663
600519.SH,20200303,866.77,887.65,866.77,881.77,50250
600519.SH,20200304,893.77,907.77,885.01,897.69,53793
600519.SH,20200305,905.08,943.76,899.33,939.77,62426
600519.SH,20200306,931.77,944.77,920.75,924.27,30641
600519.SH,20200309,903.77,903.77,880.08,882.78,43404
600519.SH,20200310,881.77,936.77,881.77,924.77,58063
600519.SH,20200311,924.27,938.35,909.77,927.29,35548
600519.SH,20200312,909.99,921.77,893.87,907.27,36631
600519.SH,20200313,858.77,897.75,848.77,880.8,75885
600519.SH,20200316,872.75,876.72,830.77,835.77,51233
600519.SH,20200317,823.77,846.77,779.89,813.87,79359
600519.SH,20200318,808.77,828.77,776.76,776.76,73460
600519.SH,20200319,762.76,783.77,728.87,764.77,102265
600519.SH,20200320,779.77,811.77,779.77,804.05,60139
600519.SH,20200323,768.77,804.05,760.29,787.77,48472
600519.SH,20200324,811.77,827.65,803.77,824.77,46651
600519.SH,20200325,856.75,860.13,842.97,848.87,37049
600519.SH,20200326,842.1,859.97,830.77,833.69,30049
600519.SH,20200327,853.77,860.77,843.78,844.27,36261
600519.SH,20200330,829.02,845.77,825.77,840.77,30687
600519.SH,20200331,850.77,883.77,850.57,879.77,47984
600519.SH,20200401,885.77,897.77,871.77,871.77,33205
600519.SH,20200402,872.77,913.77,872.65,913.77,45206
600519.SH,20200403,907.8,916.73,900.75,908.56,27618
600519.SH,20200407,930.72,935.27,917.66,928.72,43488
600519.SH,20200408,920.77,935.08,920.77,928.53,24224
600519.SH,20200409,934.77,937.77,916.73,927.27,22817
600519.SH,20200410,926.65,950.27,922.27,933.77,27804
600519.SH,20200413,933.77,938.75,917.27,931.07,15981
600519.SH,20200414,944.77,960.32,934.77,953.87,36800
600519.SH,20200415,960.77,972.76,955.87,958.37,29332
600519.SH,20200416,961.74,965.87,952.87,965.87,21728
600519.SH,20200417,978.77,1003.33,973.78,994.77,38246
600519.SH,20200420,989.77,1000.27,985.57,996.07,24239
600519.SH,20200421,989.79,992.76,961.77,968.77,29224
600519.SH,20200422,974.77,1018.27,970.99,1013.27,44035
600519.SH,20200423,1018.77,1034.45,1016.54,1021.03,26899
600519.SH,20200424,1016.77,1028.66,1003.95,1019.33,19122
600519.SH,20200427,1025.77,1046.94,1019.73,1044.77,25904
600519.SH,20200428,1054.08,1068.71,1040.65,1047.9,34662
600519.SH,20200429,1046.57,1056.87,1026.77,1043.67,23444
600519.SH,20200430,1039.77,1053.78,1027.65,1034.47,24661
600519.SH,20200506,1019.77,1068.77,1018.77,1068.77,35835
600519.SH,20200507,1068.17,1083.76,1061.77,1080.77,27935
600519.SH,20200508,1085.77,1106.77,1077.28,1083.38,29079
600519.SH,20200511,1088.77,1103.77,1082.44,1091.78,23671
600519.SH,20200512,1086.77,1103.76,1084.77,1101.77,19722
600519.SH,20200513,1101.77,1106.76,1091.65,1104.72,22014
600519.SH,20200514,1098.77,1103.65,1093.88,1095.36,18575
600519.SH,20200515,1097.77,1102.27,1070.65,1081.77,26398
600519.SH,20200518,1074.77,1120.27,1073.9,1114.98,34362
600519.SH,20200519,1132.77,1132.77,1106.77,1114.88,24787
600519.SH,20200520,1114.88,1127.95,1105.58,1119.77,21183
600519.SH,20200521,1123.77,1140.73,1121.63,1134.87,23052
600519.SH,20200522,1134.77,1134.87,1091.65,1096.97,34427
600519.SH,20200525,1098.77,1135.35,1089.77,1131.67,31561
600519.SH,20200526,1138.65,1138.72,1123.77,1126.77,22470
600519.SH,20200527,1127.77,1128.77,1101.77,1106.77,26777
600519.SH,20200528,1106.74,1115.71,1089.9,1112.77,26486
600519.SH,20200529,1100.87,1138.75,1100.87,1135.37,30444
600519.SH,20200601,1149.77,1188.87,1149.77,1188.27,35480
600519.SH,20200602,1184.78,1196.67,1175.43,1179.48,25960
600519.SH,20200603,1183.77,1186.27,1164.54,1168.07,23557
600519.SH,20200604,1164.77,1179.77,1164.77,1176.76,18037
600519.SH,20200605,1174.02,1197.65,1169.85,1193.77,18347
600519.SH,20200608,1193.77,1203.77,1170.78,1174.87,29300
600519.SH,20200609,1176.77,1193.77,1169.45,1185.32,22612
600519.SH,20200610,1193.77,1202.1,1185.77,1192.43,22701
600519.SH,20200611,1179.78,1186.76,1165.76,1169.23,30712
600519.SH,20200612,1155.94,1185.14,1152.08,1185.14,28427
600519.SH,20200615,1170.77,1180.37,1149.77,1151.77,34615
600519.SH,20200616,1167.27,1182.77,1161.9,1172.65,29207
600519.SH,20200617,1180.63,1180.67,1163.79,1173.77,19453
600519.SH,20200618,1173.67,1181.97,1168.87,1181.77,21010
600519.SH,20200619,1188.77,1213.97,1183.87,1208.61,38958
600519.SH,20200622,1203.87,1212.66,1201.97,1207.77,23247
600519.SH,20200623,1203.77,1250.77,1202.29,1243.27,33934
600519.SH,20200624,1249.39,1251.5,1230.79,1245.8,25139
600519.SH,20200629,1233.79,1251.79,1222.8,1248.96,28081
600519.SH,20200630,1248.91,1254.77,1240.91,1248.67,22446
600519.SH,20200701,1253.79,1291.89,1249.81,1280.06,38682
600519.SH,20200702,1284.79,1336.69,1280.79,1329.79,45884
600519.SH,20200703,1335.79,1338.29,1302.67,1327.58,35126
600519.SH,20200706,1323.79,1401.79,1317.6,1385.79,51822
600519.SH,20200707,1388.88,1530.61,1386.79,1473.79,66664
600519.SH,20200708,1465.79,1504.79,1445.79,1467.13,53170
600519.SH,20200709,1476.79,1497.79,1467.79,1491.79,35033
600519.SH,20200710,1474.79,1522.39,1474.73,1499.64,37100
600519.SH,20200713,1500.47,1572.79,1500.47,1567.78,60727
600519.SH,20200714,1567.78,1567.82,1534.19,1547.79,46094
600519.SH,20200715,1530.67,1568.39,1530.5,1538.32,40713
600519.SH,20200716,1515.7,1515.7,1385.79,1399.79,102242
600519.SH,20200717,1405.79,1458.38,1405.79,1433.84,65902
600519.SH,20200720,1438.29,1449.78,1374.67,1422.75,45280
600519.SH,20200721,1432.43,1488.59,1416.78,1453.79,41970
600519.SH,20200722,1443.79,1495.79,1443.79,1463.87,39201
600519.SH,20200723,1457.79,1476.79,1435.79,1461.79,34321
600519.SH,20200724,1440.64,1451.79,1370.79,1381.09,78752
600519.SH,20200727,1401.8,1415.59,1385.79,1408.34,38788
600519.SH,20200728,1415.79,1465.79,1415.79,1455.79,54912
600519.SH,20200729,1475.79,1475.79,1418.79,1457.79,50748
600519.SH,20200730,1456.99,1486.38,1456.29,1465.79,38373
600519.SH,20200731,1470.79,1490.79,1431.79,1463.97,40685
600519.SH,20200803,1472.67,1482.37,1445.79,1453.79,34661
600519.SH,20200804,1460.79,1468.78,1445.79,1455.78,31941
600519.SH,20200805,1447.88,1458.88,1429.1,1453.79,25522
600519.SH,20200806,1455.79,1459.82,1415.79,1423.75,32649
600519.SH,20200807,1430.56,1435.46,1384.29,1416.79,34242
600519.SH,20200810,1413.76,1430.75,1393.9,1419.78,23624
600519.SH,20200811,1425.79,1452.22,1425.79,1428.3,35818
600519.SH,20200812,1418.79,1426.79,1391.04,1412.74,27934
600519.SH,20200813,1415.79,1424.67,1394.79,1420.79,20541
600519.SH,20200814,1425.69,1451.49,1416.79,1446.79,37653
